10 nodes

.135388 .239677
.132694 .192524
.940433 1.007912
.527994 .673914
.419496 .492920
.219452 .314078
.846803 .906028
.690039 .749333
.410798 .495063
.914590 .971163

15 nodes

.024002 .165306
.651572 .744051
.973443 1.040277
.541392 .610719
.670518 .761223
.943131 1.062336
.114222 .188729
.290900 .360032
.870314 .931981
.192586 .271446

20 nodes

.523761 .614316
.734071 .839101
.898664 .997231
.860340 1.031580
.428335 .687899
.965038 1.118086
.914734 1.120377
.028868 .150796
.988119 1.146159
.077371 .184055
